emission wavelength (nm),Normalized emission
399.8645,0
401.0927,0
402.3212,0
403.5499,0
404.7787,0
406.0079,0
407.2372,0
408.4667,0
409.6964,0
410.9263,0
412.1565,0
413.3869,0
414.6175,0
415.8483,0
417.0793,0
418.3105,0
419.5419,0
420.7736,0
422.0054,0
423.2375,0
424.4698,0
425.7023,0
426.935,0
428.1679,0
429.401,0
430.6343,0
431.8679,0
433.1017,0
434.3357,0
435.5699,0
436.8043,0
438.0389,0
439.2737,0
440.5087,0
441.744,0
442.9795,0
444.2151,0
445.451,0
446.6871,0
447.9235,0
449.16,0
450.3967,0
451.6337,0
452.8708,0
454.1082,0
455.3458,0
456.5836,0
457.8216,0
459.0598,0
460.2983,0
461.5369,0
462.7758,0
464.0149,0
465.2542,0
466.4937,0
467.7334,0
468.9733,0
470.2134,0
471.4538,0
472.6943,0
473.9351,0
475.1761,0
476.4173,0
477.6587,0
478.9003,0
480.1422,0
481.3842,0
482.6265,0
483.869,0
485.1116,0
486.3546,0
487.5977,0
488.841,0
490.0845,0
491.3282,0
492.5722,0
493.8164,0
495.0608,0
496.3054,0
497.5502,0
498.7952,0
500.0404,0
501.2859,0
502.5315,0
503.7774,0
505.0235,0
506.2698,0
507.5163,0
508.763,0
510.0099,0
511.2571,0
512.5044,0
513.752,0
514.9998,0
516.2477,0
517.496,0
518.7444,0
519.993,0
521.2418,0
522.4908,0
523.7402,0
524.9896,0
526.2394,0
527.4893,0
528.7394,0
529.9897,0
531.2402,0
532.491,0
533.7419,0
534.9932,0
536.2445,0
537.4961,0
538.7479,0
539.9999,0
541.2522,0
542.5046,0
543.7573,0
545.0102,0
546.2633,0
547.5166,0
548.7701,0
550.0238,0
551.2777,0
552.5319,0
553.7863,0
555.0408,0
556.2956,0
557.5506,0
558.8058,0
560.0613,0
561.3169,0
562.5728,0
563.8288,0
565.0851,0
566.3416,0
567.5983,0
568.8552,0
570.1123,0
571.3696,0
572.6272,0
573.8849,0
575.1429,0
576.4011,0
577.6595,0
578.9181,0
580.1769,0
581.4359,0
582.6952,0
583.9547,0
585.2143,0
586.4742,0
587.7343,0
588.9946,0
590.2551,0
591.5159,0
592.7768,0
594.038,0
595.2993,0
596.5609,0
597.8227,0
599.0847,0
600.3469,0
601.6094,0
602.8719,0
604.1348,0
605.3979,0
606.6612,0.014748338
607.9247,0.016553531
609.1884,0.013881063
610.4523,0.010618009
611.7164,0.02356245
612.9808,0.016835322
614.2453,0.009024064
615.5101,0.011047269
616.775,0.01449994
618.0403,0.012692114
619.3057,0.021306105
620.5713,0.019042659
621.8371,0.016538448
623.1031,0.006416045
624.3694,0.021911422
625.6359,0.015607707
626.9025,0.016508543
628.1694,0.025907765
629.4365,0.023197791
630.7039,0.035498938
631.9713,0.019556734
633.2391,0.024232028
634.507,0.022428134
635.7752,0.0305228
637.0436,0.039805103
638.3121,0.038557292
639.5809,0.042944603
640.85,0.045739247
642.1192,0.055396342
643.3886,0.052332412
644.6583,0.067815088
645.9282,0.075803785
647.1982,0.081972409
648.4685,0.08139962
649.739,0.105778364
651.0097,0.12860599
652.2806,0.140759098
653.5518,0.139636044
654.8231,0.167123179
656.0947,0.178977384
657.3665,0.185364078
658.6384,0.212816259
659.9106,0.22837962
661.183,0.24726047
662.4557,0.274643233
663.7285,0.297581627
665.0015,0.324886652
666.2748,0.35235047
667.5482,0.409591637
668.8219,0.439594707
670.0958,0.49643841
671.3699,0.54245101
672.6443,0.583815413
673.9188,0.643052909
675.1935,0.71010691
676.4685,0.771645789
677.7437,0.810488476
679.019,0.878621222
680.2947,0.922728152
681.5704,0.97086503
682.8465,1
684.1227,0.986008928
685.3992,0.97838102
686.6758,0.925212794
687.9526,0.845931435
689.2297,0.762844637
690.5071,0.680241078
691.7845,0.584027045
693.0623,0.50286111
694.3402,0.419013496
695.6183,0.348970936
696.8967,0.296447552
698.1753,0.244673921
699.454,0.208483323
700.733,0.175848895
702.0122,0.161711882
703.2916,0.144509138
704.5713,0.12860783
705.8511,0.112056548
707.1311,0.097407292
708.4114,0.0817903
709.6919,0.073800547
710.9726,0.072395396
712.2535,0.039407061
713.5346,0.036449138
714.8159,0.031045241
716.0974,0.028544331
717.3793,0.016378516
718.6611,0.012877384
719.9434,0.01525154
721.2257,0.025498447
722.5084,0.005714872
723.7911,0.007422934
725.0742,0.002593143
726.3574,0.004503727
727.6409,0.004862643
728.9246,0.006997638
730.2084,0
731.4925,0
732.7768,0
734.0613,0
735.346,0
736.631,0
737.9161,0
739.2014,0
740.4871,0
741.7728,0
743.0588,0
744.345,0
745.6315,0
746.9181,0
748.205,0
749.4919,0
750.7792,0
752.0667,0
753.3544,0
754.6423,0
755.9304,0
757.2188,0
758.5073,0
759.7961,0
761.0851,0
762.3743,0
763.6636,0
764.9532,0
766.243,0
767.5331,0
768.8234,0
770.1138,0
771.4045,0
772.6953,0
773.9865,0
775.2777,0
776.5692,0
777.861,0
779.153,0
780.4451,0
781.7374,0
783.03,0
784.3228,0
785.6158,0
786.9091,0
788.2025,0
789.4961,0
790.7899,0
792.084,0
793.3783,0
794.6728,0
795.9675,0
797.2625,0
798.5575,0
799.8529,0
