emission wavelength (nm),Normalized emission
400.2618,0
401.4878,0
402.7139,0
403.9403,0
405.167,0
406.3939,0
407.621,0
408.8483,0
410.0759,0
411.3038,0
412.5319,0
413.7602,0
414.9888,0
416.2175,0
417.4466,0
418.6759,0
419.9054,0
421.1351,0
422.3651,0
423.5954,0
424.8259,0
426.0566,0
427.2875,0
428.5187,0
429.7502,0
430.9818,0
432.2138,0
433.4459,0
434.6783,0
435.9109,0
437.1438,0
438.377,0
439.6103,0
440.8439,0
442.0778,0
443.3118,0
444.5461,0
445.7807,0
447.0154,0
448.2505,0
449.4858,0
450.7213,0
451.957,0
453.193,0
454.4293,0
455.6657,0
456.9024,0
458.1394,0
459.3766,0
460.614,0
461.8517,0
463.0896,0
464.3277,0
465.5661,0
466.8047,0
468.0436,0
469.2827,0
470.5221,0
471.7617,0
473.0015,0
474.2415,0
475.4819,0
476.7224,0
477.9632,0
479.2042,0
480.4455,0
481.687,0
482.9287,0
484.1707,0
485.4129,0
486.6554,0
487.8981,0
489.141,0
490.3842,0
491.6276,0.00115179976399028
492.8713,0.00119951613147758
494.1152,0.000171045294929799
495.3593,0
496.6037,0
497.8483,0
499.0932,0
500.3383,0
501.5836,0
502.8292,0
504.075,0
505.3211,0.000675575626473046
506.5674,0.00424744111698192
507.8139,0.00221200231244923
509.0607,0.000621337814947428
510.3077,0.00183718234869299
511.555,0.00283902493300371
512.8025,0.00613486464735314
514.0502,0.0043758902867962
515.2982,0.00601072602579068
516.5464,0.00632778475158348
517.7948,0.00485951087376022
519.0435,0.00296535014849421
520.2925,0.00624454025069686
521.5416,0.00531204421397875
522.7911,0.00651219337319594
524.0407,0.00231981426657678
525.2906,0.0063682884741714
526.5407,0.00180173081140827
527.7911,0.00279178026949375
529.0417,0.00373085524670303
530.2925,0.00201813738830063
531.5436,0.000242052452497488
532.795,0.000497210608615596
534.0466,0
535.2983,0.000496739696733063
536.5504,0
537.8027,0
539.0552,0
540.308,0
541.561,0
542.8143,0
544.0677,0
545.3215,0
546.5754,0
547.8297,0
549.0841,0
550.3387,0
551.5938,0
552.8489,0
554.1042,0
555.3599,0
556.6158,0
557.8719,0
559.1283,0
560.3849,0
561.6417,0
562.8988,0
564.1561,0
565.4137,0
566.6715,0
567.9296,0
569.1879,0
570.4464,0
571.7051,0
572.9641,0
574.2234,0
575.4828,0
576.7426,0
578.0026,0
579.2627,0
580.5232,0
581.7838,0
583.0447,0
584.3059,0
585.5673,0
586.829,0
588.0908,0
589.3529,0
590.6153,0
591.8779,0
593.1407,0
594.4038,0
595.6671,0
596.9307,0
598.1945,0
599.4585,0
600.7228,0
601.9873,0
603.252,0
604.517,0
605.7822,0
607.0477,0
608.3135,0
609.5794,0
610.8456,0
612.112,0
613.3787,0
614.6456,0
615.9127,0
617.1802,0
618.4478,0.00113150243959568
619.7156,0
620.9838,0
622.2521,0
623.5206,6.18587237800403e-05
624.7896,0.000765802602845144
626.0586,0.0012995283458571
627.3279,0
628.5974,0.00286089513444864
629.8672,0.000843241742060715
631.1372,0.00207778589064275
632.4075,0.00109391419101424
633.678,0.003570071060438
634.9487,0.00220450312404456
636.2197,0.0047743751570586
637.491,0.00415288364456198
638.7625,0.00680302092428551
640.0341,0.00839851744558468
641.306,0.0104334833393583
642.5782,0.011914037453298
643.8507,0.0142815007418569
645.1233,0.0164108479508571
646.3962,0.0205506065686975
647.6694,0.0231902893182864
648.9427,0.0266424444817272
650.2164,0.0324124218278753
651.4902,0.0367404736941537
652.7643,0.0416375935261559
654.0387,0.0481394791979469
655.3132,0.0540080820257344
656.5881,0.0598104123976611
657.8632,0.0653973214591638
659.1384,0.0741226560185744
660.4139,0.0831009858322711
661.6898,0.0885006067509209
662.9658,0.100396161618567
664.242,0.112042870928766
665.5186,0.124719728993567
666.7953,0.14056952176128
668.0723,0.157929881386933
669.3494,0.18216463479239
670.6269,0.209314836055158
671.9046,0.227798971378684
673.1826,0.254594293636553
674.4607,0.285085286714753
675.7391,0.324869595949804
677.0178,0.378501975785282
678.2967,0.471268392195433
679.5758,0.570348089971637
680.8552,0.671334840384751
682.1348,0.76950005793467
683.4147,0.850600799296599
684.6947,0.926339812150087
685.9751,0.971067584694116
687.2556,1
688.5365,0.99790662963363
689.8175,0.99266184860965
691.0988,0.972168466186545
692.3804,0.952162577626865
693.6621,0.925556094063216
694.9441,0.904747498839762
696.2263,0.875404865783971
697.5088,0.8521852423438
698.7916,0.826736689331132
700.0746,0.802731178287918
701.3578,0.780691906833534
702.6412,0.758002650232796
703.9249,0.733218621114881
705.2089,0.720196948044752
706.493,0.705108162299891
707.7773,0.689320924856217
709.062,0.683972679547561
710.3469,0.677450866450006
711.6321,0.676192427381097
712.9174,0.671671097924549
714.203,0.674441836812438
715.4889,0.68006485695846
716.7749,0.683245926581119
718.0613,0.679895497301808
719.3478,0.67773163100646
720.6346,0.674955741703584
721.9217,0.669929078628357
723.209,0.669542522115858
724.4965,0.666515354287575
725.7842,0.662890586367104
727.0723,0.662253929021809
728.3605,0.663675981886015
729.649,0.660532394268614
730.9377,0.665719491930089
732.2266,0.657725400052048
733.5159,0.662544663573192
