emission wavelength (nm),Normalized emission
400.2618,0
401.4878,0
402.7139,0
403.9403,0
405.167,0
406.3939,0
407.621,0
408.8483,0
410.0759,0
411.3038,0
412.5319,0
413.7602,0
414.9888,0
416.2175,0
417.4466,0
418.6759,0
419.9054,0
421.1351,0
422.3651,0
423.5954,0
424.8259,0
426.0566,0
427.2875,0
428.5187,0
429.7502,0
430.9818,0
432.2138,0
433.4459,0
434.6783,0
435.9109,0
437.1438,0
438.377,0
439.6103,0
440.8439,0
442.0778,0
443.3118,0
444.5461,0
445.7807,0
447.0154,0
448.2505,0
449.4858,0
450.7213,0
451.957,0
453.193,0
454.4293,0
455.6657,0
456.9024,0
458.1394,0
459.3766,0
460.614,0
461.8517,0
463.0896,0
464.3277,0
465.5661,0
466.8047,0
468.0436,0
469.2827,0
470.5221,0
471.7617,0
473.0015,0
474.2415,0
475.4819,0
476.7224,0
477.9632,0
479.2042,0
480.4455,0
481.687,0
482.9287,0
484.1707,0
485.4129,0
486.6554,0
487.8981,0
489.141,0
490.3842,0
491.6276,0.000591225360150817
492.8713,0.00196168552089984
494.1152,0.000285057484893046
495.3593,0.0011130967860687
496.6037,0
497.8483,0
499.0932,0
500.3383,0
501.5836,0.00225127905335441
502.8292,0.00305908353535215
504.075,0.00512910964931573
505.3211,0.00526811596772428
506.5674,0.0036435827421183
507.8139,0.00355002967777415
509.0607,0.00330796646523468
510.3077,0.00281380641727645
511.555,0.0031679136513294
512.8025,0.000105930219665816
514.0502,0.000482719620335828
515.2982,0.00171831877389137
516.5464,0.000569704140525475
517.7948,0
519.0435,0
520.2925,0
521.5416,0.000270171370597603
522.7911,0
524.0407,0
525.2906,0.000272233974420845
526.5407,0.000904397874755217
527.7911,0
529.0417,0.00036634502273143
530.2925,0
531.5436,0
532.795,0
534.0466,0.000396220609915804
535.2983,1.46268984993263e-05
536.5504,1.70727351915024e-05
537.8027,0
539.0552,0
540.308,0.00128364236689126
541.561,0
542.8143,0
544.0677,0
545.3215,0
546.5754,0
547.8297,0.00103074803810234
549.0841,0
550.3387,0
551.5938,0
552.8489,0
554.1042,0
555.3599,0.00031038173677877
556.6158,0
557.8719,0
559.1283,5.01464203314656e-05
560.3849,0.00116164771709401
561.6417,0.000738050071454918
562.8988,0
564.1561,0
565.4137,0
566.6715,0
567.9296,0.00257661100748829
569.1879,0.00212795845951706
570.4464,0.000883324775563133
571.7051,0.000564640205516148
572.9641,0.000838624247146449
574.2234,0
575.4828,0.0012157565369836
576.7426,0
578.0026,0
579.2627,1.9646985747955e-06
580.5232,0
581.7838,0
583.0447,0.000995109407413372
584.3059,0.00110885921436982
585.5673,0
586.829,0
588.0908,5.06664012190778e-05
589.3529,0.000236311130501647
590.6153,0.000518661757842493
591.8779,0
593.1407,0.000306221938528353
594.4038,0.00101062248894425
595.6671,0
596.9307,0.000769074748576113
598.1945,0.00051167821916375
599.4585,7.09214482376328e-05
600.7228,0.000660684069237007
601.9873,0.00101243090486928
603.252,0
604.517,0
605.7822,0
607.0477,0.0007323663761125
608.3135,0.00263998219733615
609.5794,0.000561318877815232
610.8456,0.0022599442069159
612.112,0.00235236253151663
613.3787,0
614.6456,0.00196086554410951
615.9127,0.000952867294036666
617.1802,0.00113627157212667
618.4478,0.00228718259589062
619.7156,0.000944112277018434
620.9838,0.000515979600413971
622.2521,0.00142622241396988
623.5206,0.00170937576323185
624.7896,0.00210407211653191
626.0586,0.00268606848941336
627.3279,0.00225530558797231
628.5974,0.00253555446095215
629.8672,0.00378220687130852
631.1372,0.00373306877038537
632.4075,0.00336569806319009
633.678,0.00573314065174319
634.9487,0.003475537760759
636.2197,0.00673503797118746
637.491,0.00720789022668501
638.7625,0.00853216086885376
640.0341,0.0094563498136017
641.306,0.0124186069685291
642.5782,0.012834426831706
643.8507,0.0158601985281395
645.1233,0.0192645061927599
646.3962,0.0221501020178563
647.6694,0.0271622624161131
648.9427,0.030999672248543
650.2164,0.0367117305289566
651.4902,0.0413510617585277
652.7643,0.0486011431495076
654.0387,0.0555937469385146
655.3132,0.0649438470357437
656.5881,0.073682857260753
657.8632,0.0873354023178921
659.1384,0.101611876405287
660.4139,0.121792947885586
661.6898,0.143152742106358
662.9658,0.167415000787457
664.242,0.196920627455329
665.5186,0.232306400889799
666.7953,0.271604833025299
668.0723,0.320065265690624
669.3494,0.376034240018862
670.6269,0.433814299716353
671.9046,0.506415439161036
673.1826,0.581841015379414
674.4607,0.6572541311443
675.7391,0.742387219549149
677.0178,0.82782471410493
678.2967,0.891307667131423
679.5758,0.945361149310369
680.8552,0.985325697015883
682.1348,1
683.4147,0.990665458828226
684.6947,0.951753608200708
685.9751,0.886387540221795
687.2556,0.806828300789953
688.5365,0.716403673822171
689.8175,0.622322435871047
691.0988,0.533422076738323
692.3804,0.45366474400569
693.6621,0.385536160381791
694.9441,0.328399948075677
696.2263,0.279561686202419
697.5088,0.240769911111954
698.7916,0.205400411582249
700.0746,0.177938618866951
701.3578,0.154083696554958
702.6412,0.135792995623329
703.9249,0.122370598563077
705.2089,0.107460502615673
706.493,0.0951072043930431
707.7773,0.0897873178639818
709.062,0.0808652327021935
