emission wavelength (nm),Normalized emission
399.8645,0
401.0927,0
402.3212,0
403.5499,0
404.7787,0
406.0079,0
407.2372,0
408.4667,0
409.6964,0
410.9263,0
412.1565,0
413.3869,0
414.6175,0
415.8483,0
417.0793,0
418.3105,0
419.5419,0
420.7736,0
422.0054,0
423.2375,0
424.4698,0
425.7023,0
426.935,0
428.1679,0
429.401,0
430.6343,0
431.8679,0
433.1017,0
434.3357,0
435.5699,0
436.8043,0
438.0389,0
439.2737,0
440.5087,0
441.744,0
442.9795,0
444.2151,0
445.451,0
446.6871,0
447.9235,0
449.16,0
450.3967,0
451.6337,0
452.8708,0
454.1082,0
455.3458,0
456.5836,0
457.8216,0
459.0598,0
460.2983,0
461.5369,0
462.7758,0
464.0149,0
465.2542,0
466.4937,0
467.7334,0
468.9733,0
470.2134,0
471.4538,0
472.6943,0
473.9351,0
475.1761,0
476.4173,0
477.6587,0
478.9003,0
480.1422,0
481.3842,0
482.6265,0
483.869,0
485.1116,0
486.3546,0
487.5977,0
488.841,0
490.0845,0
491.3282,0.079367849
492.5722,0.065026199
493.8164,0.073530288
495.0608,0.084010577
496.3054,0.071406147
497.5502,0.117028466
498.7952,0.127249479
500.0404,0.191624608
501.2859,0.220903229
502.5315,0.316127348
503.7774,0.332992036
505.0235,0.352470776
506.2698,0.37779539
507.5163,0.445289953
508.763,0.471318289
510.0099,0.483247657
511.2571,0.512443421
512.5044,0.537108629
513.752,0.584246417
514.9998,0.595880893
516.2477,0.672132336
517.496,0.702942306
518.7444,0.751055182
519.993,0.798223566
521.2418,0.813003967
522.4908,0.846222121
523.7402,0.867358676
524.9896,0.889409222
526.2394,0.940250705
527.4893,0.911815321
528.7394,0.912658653
529.9897,0.953737774
531.2402,0.927468334
532.491,0.911611838
533.7419,0.89435676
534.9932,0.911081745
536.2445,0.883102309
537.4961,0.893212522
538.7479,0.879189167
539.9999,0.868365914
541.2522,0.865662246
542.5046,0.815319797
543.7573,0.817977359
545.0102,0.826657662
546.2633,0.823430433
547.5166,0.778639433
548.7701,0.775165364
550.0238,0.741081154
551.2777,0.756102223
552.5319,0.766890407
553.7863,0.772307392
555.0408,0.758441895
556.2956,0.777045973
557.5506,0.735409183
558.8058,0.736501753
560.0613,0.766285253
561.3169,0.754880872
562.5728,0.714205448
563.8288,0.700986659
565.0851,0.691130605
566.3416,0.689588253
567.5983,0.657458025
568.8552,0.639039108
570.1123,0.651643586
571.3696,0.592297925
572.6272,0.528724489
573.8849,0.479701041
575.1429,0.440580398
576.4011,0.40342867
577.6595,0.348766951
578.9181,0.268622249
580.1769,0.236688882
581.4359,0.174163611
582.6952,0.124277274
583.9547,0.072813292
585.2143,0.053884429
586.4742,0.032099577
587.7343,0.022011126
588.9946,0.027812074
590.2551,0.003915111
591.5159,0
592.7768,0
594.038,0
595.2993,0
596.5609,0
597.8227,0
599.0847,0
600.3469,0
601.6094,0
602.8719,0
604.1348,0
605.3979,0
606.6612,0
607.9247,0
609.1884,0
610.4523,0
611.7164,0
612.9808,0
614.2453,0
615.5101,0
616.775,0
618.0403,0
619.3057,0
620.5713,0
621.8371,0
623.1031,0
624.3694,0
625.6359,0
626.9025,0
628.1694,0
629.4365,0
630.7039,0
631.9713,0
633.2391,0
634.507,0
635.7752,0
637.0436,0
638.3121,0
639.5809,0
640.85,0
642.1192,0
643.3886,0
644.6583,0
645.9282,0
647.1982,0
648.4685,0
649.739,0
651.0097,0
652.2806,0
653.5518,0
654.8231,0
656.0947,0
657.3665,0
658.6384,0
659.9106,0
661.183,0
662.4557,0
663.7285,0
665.0015,0
666.2748,0
667.5482,0
668.8219,0
670.0958,0
671.3699,0
672.6443,0
673.9188,0
675.1935,0
676.4685,0
677.7437,0
679.019,0
680.2947,0
681.5704,0
682.8465,0
684.1227,0
685.3992,0
686.6758,0
687.9526,0
689.2297,0
690.5071,0
691.7845,0
693.0623,0
694.3402,0
695.6183,0
696.8967,0
698.1753,0
699.454,0
700.733,0
702.0122,0
703.2916,0
704.5713,0
705.8511,0
707.1311,0
708.4114,0
709.6919,0
710.9726,0
712.2535,0
713.5346,0
714.8159,0
716.0974,0
717.3793,0
718.6611,0
719.9434,0
721.2257,0
722.5084,0
723.7911,0
725.0742,0
726.3574,0
727.6409,0
728.9246,0
730.2084,0
731.4925,0
732.7768,0
734.0613,0
735.346,0
736.631,0
737.9161,0
739.2014,0
740.4871,0
741.7728,0
743.0588,0
744.345,0
745.6315,0
746.9181,0
748.205,0
749.4919,0
750.7792,0
752.0667,0
753.3544,0
754.6423,0
755.9304,0
757.2188,0
758.5073,0
759.7961,0
761.0851,0
762.3743,0
763.6636,0
764.9532,0
766.243,0
767.5331,0
768.8234,0
770.1138,0
771.4045,0
772.6953,0
773.9865,0
775.2777,0
776.5692,0
777.861,0
779.153,0
780.4451,0
781.7374,0
783.03,0
784.3228,0
785.6158,0
786.9091,0
788.2025,0
789.4961,0
790.7899,0
792.084,0
793.3783,0
794.6728,0
795.9675,0
797.2625,0
798.5575,0
799.8529,0
