emission wavelength (nm),Normalized emission
399.8645,0
401.0927,0
402.3212,0
403.5499,0
404.7787,0
406.0079,0
407.2372,0
408.4667,0
409.6964,0
410.9263,0
412.1565,0
413.3869,0
414.6175,0
415.8483,0
417.0793,0
418.3105,0
419.5419,0
420.7736,0
422.0054,0
423.2375,0
424.4698,0
425.7023,0
426.935,0
428.1679,0
429.401,0
430.6343,0
431.8679,0
433.1017,0
434.3357,0
435.5699,0
436.8043,0
438.0389,0
439.2737,0
440.5087,0
441.744,0
442.9795,0
444.2151,0
445.451,0
446.6871,0
447.9235,0
449.16,0
450.3967,0
451.6337,0
452.8708,0
454.1082,0
455.3458,0
456.5836,0
457.8216,0
459.0598,0
460.2983,0
461.5369,0
462.7758,0
464.0149,0
465.2542,0
466.4937,0
467.7334,0
468.9733,0
470.2134,0
471.4538,0
472.6943,0
473.9351,0
475.1761,0
476.4173,0
477.6587,0
478.9003,0
480.1422,0
481.3842,0
482.6265,0
483.869,0
485.1116,0
486.3546,0
487.5977,0
488.841,0
490.0845,0
491.3282,0
492.5722,0
493.8164,0
495.0608,0
496.3054,0
497.5502,0
498.7952,0
500.0404,0
501.2859,0
502.5315,0
503.7774,0
505.0235,0
506.2698,0
507.5163,0
508.763,0
510.0099,0
511.2571,0
512.5044,0
513.752,0
514.9998,0
516.2477,0
517.496,0
518.7444,0
519.993,0
521.2418,0
522.4908,0
523.7402,0
524.9896,0
526.2394,0
527.4893,0
528.7394,0
529.9897,0
531.2402,0.000402166
532.491,0.000940274
533.7419,0.00173821
534.9932,0.00155989
536.2445,0.002779724
537.4961,0.003872086
538.7479,0.00427852
539.9999,0.005624278
541.2522,0.006963529
542.5046,0.009229684
543.7573,0.010582106
545.0102,0.012380872
546.2633,0.015274389
547.5166,0.018150678
548.7701,0.022021299
550.0238,0.026112146
551.2777,0.031101984
552.5319,0.037016869
553.7863,0.044328088
555.0408,0.052822293
556.2956,0.063618435
557.5506,0.076257316
558.8058,0.091272538
560.0613,0.108078065
561.3169,0.128562189
562.5728,0.151207097
563.8288,0.180251916
565.0851,0.213925045
566.3416,0.25211924
567.5983,0.296492936
568.8552,0.343000183
570.1123,0.39406825
571.3696,0.448082944
572.6272,0.499928707
573.8849,0.55551788
575.1429,0.606309515
576.4011,0.660586239
577.6595,0.711051223
578.9181,0.761342818
580.1769,0.809771282
581.4359,0.855859622
582.6952,0.891718558
583.9547,0.931912943
585.2143,0.944589796
586.4742,0.957981849
587.7343,0.967234349
588.9946,0.963206752
590.2551,0.953240468
591.5159,0.940467488
592.7768,0.912420943
594.038,0.896928218
595.2993,0.872476848
596.5609,0.845968476
597.8227,0.822937338
599.0847,0.792735538
600.3469,0.767184602
601.6094,0.739520793
602.8719,0.711546698
604.1348,0.68250887
605.3979,0.650986985
606.6612,0.619541433
607.9247,0.588755886
609.1884,0.558444627
610.4523,0.532535274
611.7164,0.502928586
612.9808,0.47474064
614.2453,0.447796238
615.5101,0.42364659
616.775,0.397967682
618.0403,0.37560029
619.3057,0.353897596
620.5713,0.331338913
621.8371,0.312766378
623.1031,0.292052746
624.3694,0.274879806
625.6359,0.256191375
626.9025,0.241089738
628.1694,0.225039696
629.4365,0.209604617
630.7039,0.194583628
631.9713,0.181356756
633.2391,0.169062703
634.507,0.156024812
635.7752,0.146192705
637.0436,0.135798684
638.3121,0.124649608
639.5809,0.116418688
640.85,0.106764396
642.1192,0.099247928
643.3886,0.090345035
644.6583,0.08357047
645.9282,0.075498892
647.1982,0.068542629
648.4685,0.061781066
649.739,0.056303912
651.0097,0.052003434
652.2806,0.046495754
653.5518,0.042191687
654.8231,0.039174455
656.0947,0.035173992
657.3665,0.032384271
658.6384,0.029478967
659.9106,0.026116701
661.183,0.023744732
662.4557,0.020973149
663.7285,0.019656678
665.0015,0.017485027
666.2748,0.015407086
667.5482,0.014555216
668.8219,0.013054692
670.0958,0.012571068
671.3699,0.010701082
672.6443,0.010567944
673.9188,0.009560593
675.1935,0.008616562
676.4685,0.008038437
677.7437,0.008109343
679.019,0.007347436
680.2947,0.007553914
681.5704,0.006170724
682.8465,0.00541356
684.1227,0.005446223
685.3992,0.005773014
686.6758,0.00516851
687.9526,0.004375988
689.2297,0.004348692
690.5071,0.003577386
691.7845,0.003888476
693.0623,0.002477352
694.3402,0.00260811
695.6183,0.002222675
696.8967,0.001713234
698.1753,0.001874584
699.454,0.001673559
700.733,0.000985373
702.0122,0.001021713
703.2916,0.000969688
704.5713,0.000312982
705.8511,0.000567598
707.1311,9.13633E-05
708.4114,0.000344049
709.6919,0.000120374
710.9726,0.000209983
712.2535,0
713.5346,0
714.8159,0
716.0974,0
717.3793,0
718.6611,0
719.9434,0
721.2257,0
722.5084,0
723.7911,0
725.0742,0
726.3574,0
727.6409,0
728.9246,0
730.2084,0
731.4925,0
732.7768,0
734.0613,0
735.346,0
736.631,0
737.9161,0
739.2014,0
740.4871,0
741.7728,0
743.0588,0
744.345,0
745.6315,0
746.9181,0
748.205,0
749.4919,0
750.7792,0
752.0667,0
753.3544,0
754.6423,0
755.9304,0
757.2188,0
758.5073,0
759.7961,0
761.0851,0
762.3743,0
763.6636,0
764.9532,0
766.243,0
767.5331,0
768.8234,0
770.1138,0
771.4045,0
772.6953,0
773.9865,0
775.2777,0
776.5692,0
777.861,0
779.153,0
780.4451,0
781.7374,0
783.03,0
784.3228,0
785.6158,0
786.9091,0
788.2025,0
789.4961,0
790.7899,0
792.084,0
793.3783,0
794.6728,0
795.9675,0
797.2625,0
798.5575,0
799.8529,0
