emission wavelength (nm),Normalized emission
400.2618,0
401.4878,0
402.7139,0
403.9403,0
405.167,0
406.3939,0
407.621,0
408.8483,0
410.0759,0
411.3038,0
412.5319,0
413.7602,0
414.9888,0
416.2175,0
417.4466,0
418.6759,0
419.9054,0
421.1351,0
422.3651,0
423.5954,0
424.8259,0
426.0566,0
427.2875,0
428.5187,0
429.7502,0
430.9818,0
432.2138,0
433.4459,0
434.6783,0
435.9109,0
437.1438,0
438.377,0
439.6103,0
440.8439,0
442.0778,0
443.3118,0
444.5461,0
445.7807,0
447.0154,0
448.2505,0
449.4858,0
450.7213,0
451.957,0
453.193,0
454.4293,0
455.6657,0
456.9024,0
458.1394,0
459.3766,0
460.614,0
461.8517,0
463.0896,0
464.3277,0
465.5661,0
466.8047,0
468.0436,0
469.2827,0
470.5221,0
471.7617,0
473.0015,0
474.2415,0
475.4819,0
476.7224,0
477.9632,0
479.2042,0
480.4455,0
481.687,0
482.9287,0
484.1707,0
485.4129,0
486.6554,0
487.8981,0
489.141,0
490.3842,0
491.6276,0.00118193191355924
492.8713,0.0130660004391145
494.1152,0.0699575008499686
495.3593,0.174455382457034
496.6037,0.375242743444548
497.8483,0.743002805206137
499.0932,1
500.3383,0.94053939287058
501.5836,0.909525215646509
502.8292,0.915614624953996
504.075,0.968278629447743
505.3211,0.981007890516851
506.5674,0.96116350434286
507.8139,0.910566026295878
509.0607,0.826077733337416
510.3077,0.705088902223453
511.555,0.630618165775875
512.8025,0.484595841843868
514.0502,0.407533413258913
515.2982,0.305766390318181
516.5464,0.209562882023323
517.7948,0.128791957461738
519.0435,0.0498317485302531
520.2925,0.00654493606724157
521.5416,-0.0372343181414062
522.7911,-0.0754125700731691
524.0407,-0.0879595591272269
525.2906,-0.091783585983032
526.5407,-0.101044389261115
527.7911,-0.112011490767409
529.0417,-0.127834493778615
530.2925,-0.129271705006301
531.5436,-0.165512695741178
532.795,-0.168118889072847
534.0466,-0.176465778374024
535.2983,-0.209036265777714
536.5504,-0.192613034811601
537.8027,-0.212973736160577
539.0552,-0.219822874930936
540.308,-0.215272229761262
541.561,-0.220765060732541
542.8143,-0.217575318134888
544.0677,-0.238030405628006
545.3215,-0.243320095475557
546.5754,-0.248918476469557
547.8297,-0.258664040076864
549.0841,-0.250487987348378
550.3387,-0.256467838246569
551.5938,-0.26683190687786
552.8489,-0.251798101411565
554.1042,-0.260710719712588
555.3599,-0.253498232586895
556.6158,-0.274899955176435
557.8719,-0.241135102694769
559.1283,-0.241249010961002
560.3849,-0.218090687190949
561.6417,-0.23382750941518
562.8988,-0.216354785072338
564.1561,-0.204058774848476
565.4137,-0.196350539827607
566.6715,-0.183769625556729
567.9296,-0.182597391936151
569.1879,-0.183022907304541
570.4464,-0.166577125200336
571.7051,-0.161096365279227
572.9641,-0.154993612747576
574.2234,-0.1372789562341
575.4828,-0.134669219156199
576.7426,-0.128581780275544
578.0026,-0.129103495025473
579.2627,-0.122026997906655
580.5232,-0.125635758676761
581.7838,-0.117500177359771
583.0447,-0.10742942484312
584.3059,-0.121236394332834
585.5673,-0.111387685258292
586.829,-0.103376644024321
588.0908,-0.105516493242905
589.3529,-0.105049995921476
590.6153,-0.0994124945673934
591.8779,-0.098907388539347
593.1407,-0.0933081230530791
594.4038,-0.0951882873768648
595.6671,-0.0822315595190329
596.9307,-0.0884498262746285
598.1945,-0.0851055635765711
599.4585,-0.0829386338288029
600.7228,-0.0855377157287133
601.9873,-0.068923689463476
603.252,-0.0781399812481088
604.517,-0.075451411178008
605.7822,-0.0633287218931471
607.0477,-0.0636949459449866
608.3135,-0.0607639255925
609.5794,-0.0635688401883946
610.8456,-0.054858712039115
612.112,-0.0498217332555258
613.3787,-0.0556146405802115
614.6456,-0.0537774226033869
615.9127,-0.0480815472259305
617.1802,-0.0398160254141093
618.4478,-0.0464094046875922
619.7156,-0.0442771605038987
620.9838,-0.0432940062877715
622.2521,-0.0403827059533203
623.5206,-0.0385213129300281
624.7896,-0.0364629793158269
626.0586,-0.0356693379804708
627.3279,-0.0400675236920512
628.5974,-0.0313226142804119
629.8672,-0.0265702537764401
631.1372,-0.0289158361681081
632.4075,-0.0268873810181039
633.678,-0.0277351958236357
634.9487,-0.0266699085088295
636.2197,-0.0219057651349147
637.491,-0.0280575732606966
638.7625,-0.0224237454827965
640.0341,-0.0230883312529045
641.306,-0.0197592987141276
642.5782,-0.0187795351119721
643.8507,-0.0156876491879482
645.1233,-0.0171830350877331
646.3962,-0.0171179274458211
647.6694,-0.0118928704113254
648.9427,-0.00541664577800441
650.2164,-0.0102130032708287
651.4902,-0.0154903873290543
652.7643,-0.0188165038724457
654.0387,-0.00193844672347243
655.3132,-0.00229473669458924
656.5881,-0.00424122557316059
657.8632,0.00287080962746659
659.1384,0.00270087843417672
660.4139,0.0107228660166029
661.6898,0.0206540419170631
662.9658,0.0250349595021154
664.242,0.0327286149834104
665.5186,0.0331592763005019
666.7953,0.0380649605944692
668.0723,0.0375993844908821
669.3494,0.0384606919790181
670.6269,0.0436121478794842
671.9046,0.0537887331754583
673.1826,0.051717652633127
674.4607,0.067789453196575
675.7391,0.0709156205485138
