emission wavelength (nm),Normalized emission
399.8645,0
401.0927,0
402.3212,0
403.5499,0
404.7787,0
406.0079,0
407.2372,0
408.4667,0
409.6964,0
410.9263,0
412.1565,0
413.3869,0
414.6175,0
415.8483,0
417.0793,0
418.3105,0
419.5419,0
420.7736,0
422.0054,0
423.2375,0
424.4698,0
425.7023,0
426.935,0
428.1679,0
429.401,0
430.6343,0
431.8679,0
433.1017,0
434.3357,0
435.5699,0
436.8043,0
438.0389,0
439.2737,0
440.5087,0
441.744,0
442.9795,0
444.2151,0
445.451,0
446.6871,0
447.9235,0
449.16,0
450.3967,0
451.6337,0
452.8708,0
454.1082,0
455.3458,0
456.5836,0
457.8216,0
459.0598,0
460.2983,0
461.5369,0
462.7758,0
464.0149,0
465.2542,0
466.4937,0
467.7334,0
468.9733,0
470.2134,0
471.4538,0
472.6943,0
473.9351,0
475.1761,0
476.4173,0
477.6587,0
478.9003,0
480.1422,0
481.3842,0
482.6265,0
483.869,0
485.1116,0
486.3546,0
487.5977,0
488.841,0
490.0845,0
491.3282,0
492.5722,0
493.8164,0
495.0608,0
496.3054,0
497.5502,0
498.7952,0
500.0404,0
501.2859,0
502.5315,0
503.7774,0
505.0235,0
506.2698,0
507.5163,0
508.763,0
510.0099,0
511.2571,0
512.5044,0
513.752,0
514.9998,0
516.2477,0
517.496,0
518.7444,0
519.993,0
521.2418,0
522.4908,0
523.7402,0
524.9896,0
526.2394,0
527.4893,0
528.7394,0
529.9897,0
531.2402,0
532.491,0
533.7419,0
534.9932,0
536.2445,0
537.4961,0
538.7479,0
539.9999,0
541.2522,0
542.5046,0
543.7573,0
545.0102,0
546.2633,0
547.5166,0
548.7701,0
550.0238,0
551.2777,0
552.5319,0
553.7863,0
555.0408,0
556.2956,0
557.5506,0
558.8058,0
560.0613,0
561.3169,0
562.5728,0
563.8288,0
565.0851,0
566.3416,0
567.5983,0
568.8552,0
570.1123,0
571.3696,0
572.6272,0
573.8849,0
575.1429,0
576.4011,0
577.6595,0
578.9181,0
580.1769,0
581.4359,0
582.6952,0.344684368
583.9547,0.038293158
585.2143,0.20025824
586.4742,0.709949087
587.7343,0.733614498
588.9946,0.748904965
590.2551,0.692006653
591.5159,0.814403672
592.7768,0.952559199
594.038,0.783464435
595.2993,0.764042201
596.5609,0.729300939
597.8227,0.73517478
599.0847,0.673279835
600.3469,0.649364364
601.6094,0.596940129
602.8719,0.564708541
604.1348,0.542468422
605.3979,0.516418614
606.6612,0.486522219
607.9247,0.472722756
609.1884,0.436959215
610.4523,0.4168073
611.7164,0.409643997
612.9808,0.370904407
614.2453,0.344985569
615.5101,0.321688697
616.775,0.322999305
618.0403,0.290849562
619.3057,0.281879294
620.5713,0.278865649
621.8371,0.253418378
623.1031,0.252338103
624.3694,0.239831125
625.6359,0.217836668
626.9025,0.206878681
628.1694,0.18718061
629.4365,0.178231616
630.7039,0.17533786
631.9713,0.156671942
633.2391,0.151578852
634.507,0.134399689
635.7752,0.129746118
637.0436,0.122189159
638.3121,0.113051511
639.5809,0.111788678
640.85,0.10087675
642.1192,0.0882264
643.3886,0.074555413
644.6583,0.080194676
645.9282,0.0745179
647.1982,0.06439664
648.4685,0.060766506
649.739,0.05446785
651.0097,0.042797411
652.2806,0.047066176
653.5518,0.041222728
654.8231,0.046343044
656.0947,0.032991628
657.3665,0.024020106
658.6384,0.028757042
659.9106,0.027368927
661.183,0.015247038
662.4557,0.018224144
663.7285,0.016777512
665.0015,0.009978591
666.2748,0.013952138
667.5482,0.007012641
668.8219,0.00914121
670.0958,0.008500819
671.3699,0.012925898
672.6443,0.002294771
673.9188,0.005777352
675.1935,0.00471237
676.4685,0.00922576
677.7437,0.001380569
679.019,0.001303103
680.2947,0.000547232
681.5704,0.008451809
682.8465,0.014613453
684.1227,0.004185258
685.3992,0.003299987
686.6758,0
687.9526,0.001345097
689.2297,2.71637E-05
690.5071,0.00767268
691.7845,0.006898208
693.0623,0.008580059
694.3402,0.005028606
695.6183,0.003453961
696.8967,0.005488922
698.1753,0.003475714
699.454,0.009258574
700.733,0.001764018
702.0122,0.005306162
703.2916,0.004745398
704.5713,0.005772206
705.8511,0.008772662
707.1311,0.003442896
708.4114,0.00089537
709.6919,0.001082905
710.9726,0.004966054
712.2535,0
713.5346,0
714.8159,0
716.0974,0
717.3793,0
718.6611,0
719.9434,0
721.2257,0
722.5084,0
723.7911,0
725.0742,0
726.3574,0
727.6409,0
728.9246,0
730.2084,0
731.4925,0
732.7768,0
734.0613,0
735.346,0
736.631,0
737.9161,0
739.2014,0
740.4871,0
741.7728,0
743.0588,0
744.345,0
745.6315,0
746.9181,0
748.205,0
749.4919,0
750.7792,0
752.0667,0
753.3544,0
754.6423,0
755.9304,0
757.2188,0
758.5073,0
759.7961,0
761.0851,0
762.3743,0
763.6636,0
764.9532,0
766.243,0
767.5331,0
768.8234,0
770.1138,0
771.4045,0
772.6953,0
773.9865,0
775.2777,0
776.5692,0
777.861,0
779.153,0
780.4451,0
781.7374,0
783.03,0
784.3228,0
785.6158,0
786.9091,0
788.2025,0
789.4961,0
790.7899,0
792.084,0
793.3783,0
794.6728,0
795.9675,0
797.2625,0
798.5575,0
799.8529,0
